x,y
44.9,61.47
22.98,29.38
16.03,25.85
47.26,51.35
54.03,61.01
72.22,19.5
65.51,7.52
75.46,31.73
54.39,17.12
68.61,13.66
73.16,6.24
74.66,27.94
22.56,15.1
59.05,19.25
69.93,32.49
65.3,32.92
80.44,39.49
42.27,59.36
53.92,21.52
26.22,32.49
53.73,36.22
43.2,54.56
49.92,48.26
28.79,25.55
25.05,11.89
31.39,52.53
25.73,35.3
13.28,39.77
52.32,53.14
11.21,38.28
18.9,40.2
17.28,17.35
24.02,39.46
10.0,38.55
53.48,27.95
53.39,52.94
65.86,27.1
63.68,18.06
27.56,17.32
50.47,44.56
71.16,14.39
8.16,23.66
18.46,35.11
73.72,34.0
47.76,56.0
59.7,37.05
20.29,43.06
23.79,32.48
38.7,59.42
61.74,28.28
14.19,24.69
64.44,57.49
17.32,20.43
56.98,47.86
12.13,46.1
41.55,59.59
36.01,56.71
21.47,34.34
46.06,59.94
21.85,33.94
53.07,46.82
26.67,34.24
61.09,57.27
15.15,32.45
64.79,34.17
23.69,23.88
52.9,53.76
80.17,23.37
51.85,65.44
26.25,30.27
61.38,24.89
18.64,26.85
56.87,15.25
16.28,22.6
57.02,32.37
70.81,26.12
28.64,33.62
40.57,54.3
48.2,57.87
32.78,44.43
46.41,63.36
69.57,34.36
45.01,47.02
14.66,25.32
37.88,65.92
70.05,32.25
23.04,34.99
72.04,20.87
23.13,23.58
76.46,19.91
43.81,56.34
46.22,59.03
48.19,56.67
79.97,22.63
41.58,52.39
16.88,42.21
20.72,41.46
58.48,19.62
77.05,32.13
14.72,39.46
17.94,28.94
46.78,59.47
29.22,64.85
82.54,25.4
36.79,44.71
22.37,31.85
11.25,32.39
27.73,9.68
21.83,29.54
16.03,47.18
20.72,17.01
55.13,60.23
23.34,41.97
9.85,12.56
49.58,55.01
22.14,22.64
23.18,51.59
51.11,58.96
23.11,35.48
23.31,28.5
68.65,24.74
51.38,55.99
75.07,22.52
28.43,19.73
42.31,57.7
10.59,42.82
14.42,27.87
79.34,30.94
7.91,26.78
44.47,61.67
44.29,65.73
21.95,36.5
44.23,50.78
53.71,44.87
51.13,66.13
66.11,34.66
77.95,38.39
59.28,23.94
19.11,27.02
29.56,36.19
56.26,34.62
56.78,48.44
19.36,21.83
11.72,28.65
70.55,36.94
28.66,35.78
43.59,56.94
8.6,4.82
66.96,46.97
26.61,31.57
